FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,EV,20366,EV,5204,14576,1457604,34576,ROC,12953,1295302,31703,LGA,1406,1750,224.00,7.00,1757,1840,7.00,1530,1847,197.00,0.00,,0.00,254.00
2015-01-01,EV,20366,EV,5207,10397,1039705,30397,ATL,11995,1199502,31995,GSO,1645,1637,-8.00,11.00,1648,1741,4.00,1800,1745,-15.00,0.00,,0.00,306.00
2015-01-01,EV,20366,EV,5207,11995,1199502,31995,GSO,10397,1039705,30397,ATL,1825,1819,-6.00,7.00,1826,1922,18.00,1952,1940,-12.00,0.00,,0.00,306.00
2015-01-01,EV,20366,EV,5210,10781,1078102,30781,BTR,10397,1039705,30397,ATL,1145,1148,3.00,9.00,1157,1359,9.00,1413,1408,-5.00,0.00,,0.00,448.00
2015-01-01,EV,20366,EV,5211,10397,1039705,30397,ATL,15919,1591902,31834,XNA,0953,0944,-9.00,17.00,1001,1037,5.00,1059,1042,-17.00,0.00,,0.00,589.00
2015-01-01,EV,20366,EV,5211,15919,1591902,31834,XNA,10397,1039705,30397,ATL,1134,1127,-7.00,9.00,1136,1346,5.00,1419,1351,-28.00,0.00,,0.00,589.00
2015-01-01,EV,20366,EV,5214,11433,1143302,31295,DTW,10785,1078502,30785,BTV,1525,1520,-5.00,14.00,1534,1637,9.00,1711,1646,-25.00,0.00,,0.00,537.00
2015-01-01,EV,20366,EV,5218,10397,1039705,30397,ATL,14098,1409803,33667,PHF,2054,2049,-5.00,14.00,2103,2212,3.00,2229,2215,-14.00,0.00,,0.00,508.00
2015-01-01,EV,20366,EV,5219,14098,1409803,33667,PHF,10397,1039705,30397,ATL,1108,1112,4.00,10.00,1122,1249,6.00,1301,1255,-6.00,0.00,,0.00,508.00
2015-01-01,EV,20366,EV,5221,14711,1471102,34711,SCE,11433,1143302,31295,DTW,0625,0610,-15.00,10.00,0620,0720,7.00,0752,0727,-25.00,0.00,,0.00,301.00
2015-01-01,EV,20366,EV,5225,10397,1039705,30397,ATL,11003,1100303,31003,CID,1505,1455,-10.00,13.00,1508,1553,3.00,1617,1556,-21.00,0.00,,0.00,694.00
2015-01-01,EV,20366,EV,5313,11617,1161706,31617,EWN,10397,1039705,30397,ATL,1225,1217,-8.00,6.00,1223,1344,5.00,1404,1349,-15.00,0.00,,0.00,433.00
